City,Vehicle Type,Weather,Economic Condition,Day Of Week,Hour Of Day,Speed,Is Peak Hour,Random Event Occurred,Energy Consumption,Traffic Density
Bengalore,Car,Storm,Booming,Wednesday,10,82.5943,0,0,49.3985,0.222
Kolkata,Bike,Hot,Stable,Friday,0,41.7065,0,0,37.915,0.1354
Kolkata,Car,Snowy,Recession,Thursday,21,29.0562,0,0,17.3781,0.028
Bengalore,Bike,Snowy,Recession,Wednesday,12,43.5025,0,1,41.6291,0.1301
Kolkata,Car,Storm,Recession,Thursday,22,78.5513,0,0,46.9804,0.0491
Mumbai,Car,Snowy,Booming,Saturday,0,85.7668,0,0,42.8834,0.7239
Pune,Bike,Snowy,Stable,Saturday,15,37.7644,0,0,30.2116,0.2199
Mumbai,Bike,Clear,Recession,Friday,17,95.3197,1,0,76.2558,0.1056
Chennai,Bike,Storm,Booming,Wednesday,15,108,0,0,99.0967,0.3378
Chennai,Bike,Snowy,Booming,Wednesday,19,37.4313,0,0,33.2722,0.543
Delhi,Bike,Hot,Booming,Friday,16,57.8145,0,0,93.8547,0.3675
Chennai,Car,Rainy,Stable,Monday,18,23.2026,1,0,11.6013,0.4277
Bengalore,Bike,Snowy,Recession,Friday,22,35.3479,0,0,33.8257,0.0586
Chennai,Car,Clear,Recession,Friday,7,27.623,1,0,13.8115,0.1526
Mumbai,Car,Hot,Booming,Sunday,11,79.0694,0,0,39.5347,0.1714
Bengalore,Car,Hot,Booming,Sunday,5,39.6149,0,0,22.5084,0.2394
Pune,Bike,Rainy,Recession,Thursday,20,75.4927,0,0,67.1046,0.0308
Pune,Bike,Snowy,Stable,Sunday,14,45.9732,1,0,36.7786,0.1933
Pune,Bike,Snowy,Booming,Wednesday,11,73.5572,0,0,58.8457,0.1831
Mumbai,Bus,Storm,Stable,Monday,18,92.3607,1,0,92.3607,0.5877
Bengalore,Bike,Snowy,Recession,Thursday,2,49.8722,0,0,47.7246,0.092
Mumbai,Rickshaw,Storm,Stable,Saturday,11,28.8533,0,0,34.6239,0.3104
Pune,Car,Snowy,Stable,Saturday,5,76.1731,0,0,38.0866,0.2449
Kolkata,Bike,Clear,Recession,Tuesday,9,39.0082,0,1,35.462,0.0286
Pune,Bike,Storm,Stable,Saturday,16,53.0204,0,0,42.4163,0.2248
Mumbai,Car,Storm,Stable,Saturday,2,97.965,0,0,48.9825,0.4302
Delhi,Bike,Clear,Recession,Saturday,12,49.3907,1,0,35.9205,0.1296
Mumbai,Bike,Hot,Recession,Friday,19,73.7537,0,0,65.5588,0.0209
Delhi,Bike,Clear,Stable,Sunday,19,73.5457,0,0,66.8597,0.3975
Chennai,Bike,Snowy,Stable,Wednesday,22,15.2552,0,0,12.2042,0.4536
Bengalore,Bike,Clear,Booming,Wednesday,6,70.2842,0,0,63.8947,0.3172
Kolkata,Bike,Rainy,Booming,Friday,23,50.6295,0,0,48.4493,0.059
Chennai,Bus,Hot,Booming,Monday,15,20.618,0,0,20.618,1
Mumbai,Bike,Rainy,Booming,Thursday,9,58.7153,0,0,46.9722,0.483
Kolkata,Bike,Storm,Stable,Thursday,10,78.2878,0,0,74.9166,0.1301
Pune,Bus,Snowy,Stable,Monday,16,75.9898,0,0,75.9898,0.1457
Chennai,Bus,Rainy,Stable,Saturday,9,89.8611,0,0,89.8611,0.8224
Pune,Bike,Clear,Stable,Thursday,1,71.701,0,0,57.3608,0.2893
Kolkata,Bike,Clear,Booming,Friday,19,28.5909,0,0,22.2152,0.1344
Kolkata,Bike,Rainy,Stable,Tuesday,10,54.3549,0,0,52.0143,0.0971
Mumbai,Bike,Hot,Recession,Sunday,21,56.577,0,0,45.2616,0.036
Kolkata,Car,Rainy,Booming,Saturday,2,87.3542,0,0,52.2453,0.0579
Delhi,Bike,Hot,Booming,Wednesday,10,98.828,0,1,79.0624,0.7895
Kolkata,Bike,Snowy,Booming,Tuesday,22,42.3395,0,0,40.5163,0.0551
Kolkata,Bike,Storm,Stable,Wednesday,2,36.5591,0,0,38.8719,0.1355
Pune,Bike,Clear,Recession,Thursday,5,97.7249,0,0,78.18,0.0433
Bengalore,Car,Rainy,Booming,Wednesday,18,99.3168,1,0,48.0401,0.3872
Chennai,Bike,Storm,Booming,Monday,17,30.1817,1,0,24.1454,0.4558
Mumbai,Bus,Hot,Recession,Friday,10,97.2062,0,0,97.2062,0.1277
Kolkata,Bike,Hot,Stable,Friday,8,38.4019,1,0,27.9286,0.1201
Mumbai,Bike,Storm,Booming,Wednesday,1,94.2945,0,0,75.4356,0.3075
Bengalore,Bike,Snowy,Recession,Tuesday,9,12.6713,0,0,12.1257,0.1042
Pune,Car,Rainy,Booming,Sunday,0,86.4,0,0,55.922,0.2434
Chennai,Bike,Hot,Booming,Wednesday,15,46.7326,0,0,37.3861,0.5431
Bengalore,Rickshaw,Clear,Stable,Saturday,1,39.279,0,0,53.5623,0.328
Chennai,Rickshaw,Clear,Stable,Monday,19,108,0,0,131.6834,0.8099
Bengalore,Bike,Rainy,Stable,Monday,14,60.5337,0,0,57.9269,0.1548
Mumbai,Rickshaw,Snowy,Recession,Monday,8,80.0248,1,0,96.0298,0.3502
Pune,Car,Storm,Booming,Thursday,17,21.6455,1,0,10.8227,0.2237
Chennai,Bike,Storm,Recession,Monday,3,59.5562,0,0,47.645,0.1074
Mumbai,Bike,Storm,Booming,Tuesday,10,40.2113,0,0,32.1691,0.5686
Kolkata,Bike,Clear,Stable,Saturday,12,39.426,1,0,28.6735,0.0861
Delhi,Bike,Snowy,Booming,Monday,10,43.7408,0,0,74.745,0.5018
Mumbai,Rickshaw,Rainy,Stable,Tuesday,23,16.1963,0,0,19.4356,0.6184
Bengalore,Bike,Clear,Booming,Saturday,23,60.0952,0,1,85.3625,0.1938
Kolkata,Bike,Snowy,Recession,Friday,5,56.6081,0,0,54.1704,0.0178
Chennai,Bus,Snowy,Stable,Sunday,18,19.5618,0,0,19.5618,0.6163
Pune,Bike,Storm,Recession,Wednesday,6,53.8889,0,0,43.1112,0.0567
Delhi,Bike,Storm,Recession,Thursday,9,119.3151,0,0,114.1771,0.1558
Delhi,Car,Rainy,Stable,Wednesday,16,31.2386,0,0,29.6562,0.399
Mumbai,Bus,Snowy,Stable,Monday,21,49.4385,0,1,49.4385,0.4476
Pune,Bike,Clear,Recession,Friday,21,42.0413,0,0,37.37,0.0358
Delhi,Car,Storm,Recession,Monday,12,46.197,0,0,27.6298,0.5893
Bengalore,Car,Rainy,Recession,Wednesday,7,81.5418,1,0,39.0152,0.0919
Mumbai,Car,Snowy,Stable,Wednesday,1,33.6991,0,0,16.8495,0.596
Bengalore,Bike,Snowy,Booming,Saturday,1,49.4004,0,0,47.2731,0.3449
Kolkata,Car,Snowy,Recession,Thursday,2,51.1208,0,1,30.5746,0.0812
Bengalore,Bike,Rainy,Recession,Friday,19,52.063,0,0,46.1306,0.0582
Delhi,Car,Hot,Recession,Monday,0,91.0694,0,0,51.744,0.3051
Pune,Bike,Storm,Booming,Monday,15,86.4241,0,0,69.1393,0.2304
Pune,Bike,Rainy,Stable,Wednesday,8,65.5096,1,0,52.4077,0.098
Mumbai,Rickshaw,Hot,Stable,Tuesday,1,50.1235,0,0,60.1482,0.3068
Mumbai,Car,Snowy,Stable,Sunday,20,39.8755,0,0,19.9377,0.2456
Bengalore,Bike,Hot,Booming,Monday,21,36.5855,0,0,30.7959,0.2063
Chennai,Bike,Hot,Recession,Saturday,14,95.04,1,0,91.5201,0.1667
Bengalore,Car,Rainy,Booming,Thursday,23,76.7164,0,0,45.883,0.2212
Mumbai,Bike,Clear,Recession,Tuesday,11,53.1129,0,0,42.4903,0.0608
Pune,Bike,Clear,Recession,Wednesday,8,84.48,1,1,76.7575,0.066
Mumbai,Bike,Hot,Booming,Thursday,17,89.6982,1,1,71.7586,0.0942
Mumbai,Bike,Rainy,Recession,Saturday,2,79.0363,0,0,63.2291,0.1276
Mumbai,Bus,Clear,Stable,Saturday,0,106.9575,0,0,106.9575,0.641
Mumbai,Bike,Snowy,Stable,Sunday,7,107.9006,0,0,86.3205,0.2137
Mumbai,Bike,Snowy,Booming,Sunday,1,100.0143,0,0,80.0114,0.3266
Delhi,Car,Rainy,Stable,Saturday,6,64.9471,0,0,38.844,0.3318
Kolkata,Car,Storm,Recession,Friday,20,91.5296,0,0,54.7426,0.0298
Kolkata,Bike,Hot,Stable,Tuesday,13,21.6326,0,0,19.666,0.1314
Chennai,Rickshaw,Clear,Stable,Wednesday,13,108,0,0,133.9351,0.3976
Kolkata,Bike,Hot,Stable,Saturday,7,109.2612,0,0,99.3284,0.0919
Mumbai,Rickshaw,Rainy,Stable,Monday,9,101.9066,0,0,122.288,0.2825
Bengalore,Rickshaw,Clear,Stable,Sunday,10,19.2996,0,0,26.3176,0.2156
Mumbai,Bike,Clear,Booming,Sunday,9,22.3568,0,0,17.8854,0.538
Pune,Bike,Snowy,Booming,Sunday,23,61.9502,0,0,49.5602,0.2949
Kolkata,Car,Clear,Stable,Sunday,0,81.372,0,0,46.2341,0.117
Delhi,Bike,Snowy,Stable,Friday,14,52.8615,0,0,50.5851,0.5342
Kolkata,Car,Storm,Stable,Thursday,15,64.4828,0,0,38.5663,0.0845
Kolkata,Car,Snowy,Stable,Saturday,13,25.8529,1,0,12.3698,0.1132
Pune,Bike,Storm,Stable,Saturday,9,96,0,0,79.5335,0.1603
Chennai,Bike,Hot,Stable,Monday,9,83.0965,0,0,66.4772,0.6884
Pune,Bike,Storm,Booming,Monday,21,64.4123,0,0,57.2554,0.2504
Chennai,Bus,Snowy,Booming,Monday,7,37.2605,1,0,37.2605,0.7253
Pune,Bike,Snowy,Stable,Thursday,23,76.6596,0,0,61.3277,0.1535
Pune,Bus,Snowy,Booming,Saturday,19,39.6865,0,0,39.6865,0.3884
Delhi,Car,Storm,Stable,Wednesday,11,53.4908,0,0,31.9921,0.6452
Kolkata,Bike,Hot,Recession,Monday,12,94.9561,0,0,86.3237,0.0602
Delhi,Bike,Snowy,Recession,Monday,19,117.9884,0,0,115.1617,0.2321
Kolkata,Car,Snowy,Booming,Tuesday,23,63.6542,0,0,38.0707,0.0789
Bengalore,Bike,Hot,Recession,Monday,16,75.6171,0,1,68.7428,0.0924
Mumbai,Bus,Snowy,Stable,Thursday,19,46.3132,0,0,46.3132,0.5366
Bengalore,Bike,Hot,Booming,Wednesday,19,52.7803,0,0,44.4279,0.3118
Chennai,Car,Rainy,Booming,Wednesday,0,63.4718,0,0,39.6699,0.5993
Pune,Bike,Storm,Stable,Wednesday,21,12.1503,0,0,10.8002,0.4
Chennai,Bike,Snowy,Booming,Sunday,10,40.7318,0,0,32.5854,0.3678
Pune,Bike,Rainy,Recession,Tuesday,16,45.5944,0,0,36.4755,0.0903
Delhi,Rickshaw,Snowy,Stable,Tuesday,20,42.9293,0,0,61.621,0.5651
Bengalore,Bike,Rainy,Recession,Tuesday,21,13.4911,0,0,11.9539,0.065
Pune,Bike,Storm,Booming,Tuesday,6,58.4165,0,0,46.7332,0.1454
Bengalore,Bike,Snowy,Recession,Monday,22,35.5015,0,0,33.9727,0.0735
Chennai,Bus,Storm,Stable,Thursday,3,98.5071,0,0,98.5071,0.4521
Bengalore,Bike,Clear,Booming,Tuesday,10,76.3354,0,0,69.3959,0.3288
Mumbai,Bike,Hot,Recession,Sunday,5,29.2159,0,0,23.3727,0.0645
Mumbai,Bus,Hot,Recession,Saturday,12,95.3987,1,0,95.3987,0.0681
Delhi,Bike,Snowy,Recession,Wednesday,13,49.9475,0,1,47.7966,0.1347
Mumbai,Rickshaw,Storm,Stable,Tuesday,12,68.5377,0,0,82.2452,0.289
Bengalore,Bike,Storm,Booming,Wednesday,22,37.7343,0,0,36.1093,0.3121
Kolkata,Car,Clear,Booming,Friday,22,18.3752,0,0,10.4405,0.1422
Pune,Bike,Snowy,Recession,Monday,20,54.2769,0,0,48.2462,0.0425
Chennai,Rickshaw,Snowy,Recession,Wednesday,6,31.5741,0,0,37.8889,0.3315
Delhi,Car,Hot,Stable,Tuesday,16,17.8263,0,0,10.1286,0.6089
Kolkata,Bike,Clear,Recession,Friday,21,110.1213,0,0,85.5644,0.0451
Kolkata,Bike,Storm,Booming,Friday,7,73.4348,1,0,56.218,0.0758
Bengalore,Bike,Snowy,Recession,Tuesday,14,54.1139,0,0,51.7836,0.0409
Mumbai,Bike,Snowy,Recession,Thursday,19,36.2496,0,0,32.2219,0.0977
Mumbai,Car,Snowy,Stable,Wednesday,17,46.6447,1,0,23.3224,0.268
Pune,Car,Snowy,Booming,Friday,6,57.3651,0,0,28.6826,0.2365
Kolkata,Bike,Rainy,Recession,Tuesday,7,115.9022,1,0,88.7289,0.0374
Delhi,Bike,Hot,Stable,Tuesday,4,26.6415,0,0,24.2195,0.5613
Pune,Bike,Hot,Booming,Saturday,12,41.0222,1,0,32.8178,0.2373
Pune,Car,Clear,Stable,Wednesday,13,31.4233,0,1,15.7116,0.1755
Kolkata,Bike,Storm,Booming,Monday,15,33.6329,0,0,32.1846,0.0588
Delhi,Car,Snowy,Recession,Thursday,13,35.3521,0,0,21.1436,0.1422
Mumbai,Rickshaw,Rainy,Booming,Sunday,3,68.5689,0,0,82.2827,0.3098
Bengalore,Bike,Hot,Recession,Saturday,4,112.6196,0,0,102.3814,0.0821
Delhi,Bike,Snowy,Stable,Wednesday,16,107.3362,0,0,102.7141,0.4909
Mumbai,Car,Storm,Recession,Thursday,22,81.3253,0,1,40.6626,0.1122
Pune,Bike,Storm,Booming,Thursday,11,68.6726,0,0,54.9381,0.4907
Mumbai,Bike,Snowy,Booming,Monday,21,95.3303,0,0,84.738,0.2974
Bengalore,Bike,Snowy,Stable,Sunday,12,96.5395,1,0,73.9058,0.3417
Bengalore,Bike,Storm,Recession,Wednesday,7,59.1244,1,0,45.2627,0.1487
Chennai,Bike,Rainy,Stable,Friday,20,16.1739,0,0,14.3768,0.5525
Bengalore,Bike,Clear,Booming,Monday,19,80.8087,0,0,68.0208,0.4178
Delhi,Bike,Hot,Stable,Thursday,13,81.9397,0,0,74.4907,0.5372
Mumbai,Car,Snowy,Stable,Friday,11,43.3938,0,0,21.6969,0.337
Pune,Bus,Hot,Recession,Wednesday,16,39.0781,0,0,39.0781,0.0289
Mumbai,Rickshaw,Storm,Recession,Wednesday,12,84.6516,0,0,101.5819,0.1122
Chennai,Bus,Snowy,Stable,Friday,17,39.0723,1,0,39.0723,1
Pune,Car,Snowy,Booming,Tuesday,12,86.4,0,0,51.8686,0.214
Mumbai,Bike,Hot,Recession,Saturday,18,84.355,0,0,67.484,0.0214
Pune,Bike,Snowy,Recession,Saturday,9,91.0711,0,0,72.8569,0.0473
Chennai,Car,Hot,Recession,Tuesday,7,94.9078,1,0,47.4539,0.1377
Bengalore,Car,Storm,Recession,Sunday,20,70.5955,0,0,58.6419,0.069
Mumbai,Bike,Hot,Recession,Tuesday,0,70.9996,0,0,56.7997,0.0417
Bengalore,Bike,Storm,Booming,Saturday,12,33.1051,1,0,25.3436,0.3464
Chennai,Bike,Storm,Stable,Wednesday,11,64.7331,0,0,51.7864,0.633
Delhi,Bike,Rainy,Recession,Saturday,4,70.9499,0,0,67.8946,0.0793
Delhi,Bike,Clear,Recession,Tuesday,23,34.6648,0,0,31.5135,0.2697
Mumbai,Car,Hot,Recession,Friday,10,65.1632,0,0,32.5816,0.0872
Chennai,Bus,Snowy,Booming,Tuesday,2,37.1582,0,0,37.1582,0.4612
Delhi,Bike,Clear,Booming,Tuesday,3,28.8202,0,0,26.2002,0.6784
Pune,Car,Snowy,Recession,Sunday,8,95.04,0,0,48.4714,0.0769
Pune,Bike,Hot,Recession,Tuesday,20,54.6599,0,0,48.5865,0.1184
Mumbai,Bus,Snowy,Booming,Monday,15,108,0,0,112.1888,0.4988
Mumbai,Bike,Snowy,Recession,Sunday,12,57.256,1,0,45.8048,0.0713
Mumbai,Bus,Storm,Recession,Wednesday,6,34.9109,0,0,34.9109,0.2673
Mumbai,Bus,Clear,Recession,Thursday,10,84.3126,0,0,84.3126,0.0928
Bengalore,Car,Rainy,Booming,Wednesday,22,22.1479,0,0,13.2464,0.258
Kolkata,Bike,Hot,Stable,Sunday,9,52.3634,0,0,47.6031,0.0747
Pune,Bike,Snowy,Booming,Thursday,12,15.4272,0,0,12.3417,0.2201
Delhi,Bike,Storm,Stable,Saturday,16,89.4807,0,0,75.3522,0.7311
Delhi,Bike,Rainy,Stable,Saturday,22,54.5506,0,0,52.2015,0.5899
Delhi,Bike,Snowy,Recession,Thursday,5,60.613,0,0,58.0028,0.1411
Mumbai,Bike,Hot,Stable,Tuesday,17,96,1,0,86.8154,0.2072
Bengalore,Bike,Clear,Stable,Tuesday,6,33.6053,0,0,30.5503,0.1789
Pune,Bike,Snowy,Recession,Tuesday,5,70.6391,0,0,56.5113,0.0519
Chennai,Bike,Storm,Booming,Wednesday,9,29.3066,0,0,23.4453,0.6231
Kolkata,Car,Storm,Recession,Wednesday,4,73.6827,0,0,44.0686,0.0401
Bengalore,Bike,Clear,Stable,Friday,6,97.1179,0,0,88.289,0.2368
Chennai,Bike,Snowy,Stable,Monday,21,56.9198,0,0,50.5954,0.4748
Pune,Car,Hot,Stable,Friday,0,75.9233,0,0,37.9617,0.2085
Delhi,Bike,Clear,Booming,Friday,2,117.9451,0,0,107.2228,0.3953
Mumbai,Car,Storm,Booming,Monday,1,25.7185,0,0,12.8592,0.4774
Chennai,Bus,Clear,Booming,Tuesday,20,51.4962,0,0,51.4962,0.6886
Pune,Bike,Storm,Recession,Friday,23,58.9006,0,0,47.1205,0.1061
Pune,Bus,Hot,Booming,Wednesday,20,37.8981,0,0,37.8981,0.3761
Chennai,Car,Snowy,Stable,Friday,16,34.2644,0,0,17.1322,0.2761
Mumbai,Car,Rainy,Booming,Sunday,20,39.2695,0,0,19.6347,0.32
Chennai,Bus,Clear,Stable,Tuesday,2,96.0053,0,0,96.0053,0.6911
Chennai,Car,Snowy,Booming,Friday,17,52.4144,1,1,26.2072,0.5581
Pune,Car,Clear,Booming,Thursday,10,20.9967,0,0,10.4983,0.2226
Bengalore,Bike,Clear,Booming,Thursday,1,31.3682,0,0,44.5572,0.2035
Chennai,Car,Hot,Booming,Wednesday,19,77.4299,0,0,38.7149,0.5433
Mumbai,Bike,Hot,Stable,Sunday,23,35.3917,0,0,28.3134,0.2375
Mumbai,Bus,Clear,Recession,Friday,3,24.8955,0,0,24.8955,0.2942
Chennai,Bike,Snowy,Recession,Saturday,2,40.9092,0,0,32.7273,0.2154
Chennai,Bike,Rainy,Booming,Tuesday,15,14.0142,0,0,11.2113,0.5825
Pune,Bike,Hot,Stable,Saturday,12,43.0754,1,0,34.4603,0.1368
Kolkata,Bike,Clear,Recession,Friday,2,73.1328,0,0,66.4844,0.0363
Chennai,Rickshaw,Rainy,Booming,Monday,16,12.4432,0,1,14.9319,0.4137
Delhi,Bike,Clear,Stable,Monday,10,57.4534,0,1,52.2304,0.5374
Chennai,Car,Clear,Booming,Wednesday,18,42.5523,1,0,21.2762,0.3467
Chennai,Bike,Storm,Stable,Thursday,18,77.76,1,0,83.8468,0.3091
Mumbai,Bike,Snowy,Recession,Thursday,22,54.3358,0,0,43.4686,0.0926
Pune,Bike,Hot,Stable,Thursday,2,18.5737,0,0,16.51,0.1955
Kolkata,Car,Snowy,Booming,Thursday,4,54.4224,0,0,32.5493,0.11
Kolkata,Car,Rainy,Recession,Thursday,8,116.0916,1,0,55.5462,0.0213
Pune,Bike,Hot,Recession,Tuesday,20,77.3231,0,0,68.7316,0.0294
Bengalore,Bike,Rainy,Recession,Wednesday,21,79.9105,0,0,70.805,0.0924
Pune,Bike,Rainy,Recession,Friday,14,61.5965,0,0,49.2772,0.0759
Chennai,Rickshaw,Storm,Stable,Monday,12,69.4261,0,0,83.3114,0.5973
Mumbai,Bus,Snowy,Recession,Sunday,6,66.9359,0,0,66.9359,0.1356
Bengalore,Car,Clear,Booming,Thursday,20,15.1493,0,0,13.4493,0.417
Delhi,Bike,Clear,Recession,Sunday,7,22.3998,0,0,20.3635,0.2941
Mumbai,Bike,Clear,Booming,Thursday,13,32.5234,0,0,26.0187,0.2825
Pune,Car,Storm,Booming,Friday,0,96,0,0,49.5418,0.3257
Pune,Rickshaw,Clear,Recession,Sunday,15,47.8413,0,0,57.4096,0.3486
Mumbai,Bike,Snowy,Booming,Sunday,10,94.2252,0,0,75.3802,0.7505
Delhi,Bike,Storm,Stable,Friday,3,66.2387,0,0,63.3863,0.3733
Kolkata,Car,Rainy,Booming,Tuesday,2,84.681,0,0,50.6465,0.0886
Mumbai,Bike,Storm,Stable,Wednesday,10,31.6447,0,0,25.3157,0.306
Bengalore,Car,Storm,Stable,Sunday,7,83.7846,0,0,50.1104,0.2222
Delhi,Car,Snowy,Recession,Friday,4,57.4743,0,0,34.3746,0.1294
Pune,Bike,Storm,Stable,Wednesday,7,76.4192,1,0,61.1353,0.1716
Kolkata,Bike,Snowy,Stable,Tuesday,8,98.8197,1,0,75.6514,0.0778
Mumbai,Bike,Hot,Booming,Sunday,14,78.8313,1,0,63.0651,0.1354
Delhi,Bike,Storm,Recession,Friday,11,17.1733,0,0,26.0854,0.2525
Kolkata,Car,Clear,Stable,Tuesday,23,97.0327,0,0,55.1322,0.1041
Kolkata,Bike,Hot,Booming,Sunday,1,102.4644,0,0,93.1495,0.0778
Delhi,Bike,Hot,Recession,Tuesday,11,62.5989,0,0,56.9081,0.2209
Mumbai,Bus,Storm,Booming,Wednesday,11,47.5945,0,0,47.5945,0.5428
Pune,Bike,Snowy,Stable,Monday,3,83.7415,0,0,66.9932,0.15
Bengalore,Bike,Storm,Stable,Friday,4,15.8577,0,0,15.1748,0.2619
Chennai,Bike,Snowy,Booming,Tuesday,20,53.3687,0,0,47.4388,0.5083
Mumbai,Bike,Clear,Booming,Saturday,10,104.4393,0,0,83.5514,0.2468
Chennai,Bike,Clear,Booming,Friday,10,87.1847,0,0,69.7477,0.7132
Pune,Bike,Hot,Booming,Sunday,23,81.3977,0,0,65.1182,0.1373
Bengalore,Bike,Clear,Recession,Thursday,23,72.8007,0,1,66.1824,0.0981
Pune,Bike,Hot,Stable,Monday,14,90.1501,0,0,72.1201,0.185
Kolkata,Bike,Snowy,Recession,Tuesday,18,30.999,1,0,20.2831,0.0429
Delhi,Bike,Clear,Stable,Saturday,23,112.2667,0,0,102.0606,0.4467
Mumbai,Bike,Snowy,Booming,Friday,8,16.4675,1,0,13.174,0.6569
Delhi,Bike,Hot,Booming,Wednesday,17,126.325,1,0,91.8727,0.6231
Mumbai,Bus,Rainy,Booming,Tuesday,17,22.6317,1,0,22.6317,0.3634
Delhi,Bike,Rainy,Recession,Tuesday,13,93.3729,0,0,89.352,0.1881
Delhi,Car,Hot,Recession,Saturday,0,61.2129,0,0,34.7801,0.2487
Mumbai,Bike,Snowy,Booming,Tuesday,17,70.8412,1,0,56.6729,0.621
Mumbai,Car,Hot,Recession,Monday,22,22.2234,0,0,11.1117,0.0385
Delhi,Car,Rainy,Stable,Sunday,8,48.0309,0,0,28.7266,0.6748
Kolkata,Bike,Rainy,Recession,Monday,22,45.155,0,0,43.2105,0.0337
Chennai,Bike,Snowy,Booming,Friday,9,69.0313,0,0,55.225,0.7364
Chennai,Bus,Snowy,Recession,Wednesday,13,63.9712,0,0,63.9712,0.0851
Pune,Bike,Snowy,Recession,Saturday,14,51.319,1,0,41.0552,0.0566
Delhi,Bus,Clear,Recession,Thursday,1,35.3206,0,0,40.137,0.2198
Mumbai,Car,Clear,Stable,Tuesday,9,85.1774,0,0,42.5887,0.3869
Chennai,Car,Hot,Recession,Sunday,10,56.9912,0,1,28.4956,0.2022
Chennai,Bike,Rainy,Booming,Saturday,13,19.4066,1,0,15.5253,0.487
Delhi,Bike,Clear,Stable,Wednesday,8,74.0918,1,0,53.8849,0.6218
Bengalore,Bike,Clear,Booming,Monday,15,44.2865,0,0,40.2605,0.3075
Pune,Bike,Rainy,Stable,Wednesday,22,68.485,0,0,54.788,0.2247
Kolkata,Bike,Hot,Booming,Tuesday,16,94.2377,0,0,85.6706,0.0997
Chennai,Bike,Rainy,Recession,Tuesday,15,71.7689,0,0,57.4151,0.0924
Delhi,Bike,Clear,Stable,Tuesday,23,16.6829,0,0,18.5365,1
Bengalore,Bike,Hot,Booming,Sunday,13,51.0267,1,0,37.1103,0.2978
Kolkata,Car,Snowy,Recession,Wednesday,9,23.7506,0,0,14.2049,0.026
Bengalore,Bike,Hot,Recession,Wednesday,16,82.0867,0,1,74.6243,0.0409
Pune,Bike,Clear,Stable,Thursday,22,77.1709,0,0,61.7368,0.2542
Kolkata,Bike,Snowy,Stable,Monday,2,74.2747,0,0,71.0762,0.0948
Mumbai,Bike,Rainy,Recession,Tuesday,22,21.3019,0,0,17.0416,0.1612
Bengalore,Bike,Storm,Booming,Tuesday,16,43.6306,0,1,41.7518,0.2544
Chennai,Bus,Rainy,Booming,Wednesday,4,51.6608,0,0,51.6608,0.7074
Mumbai,Bike,Hot,Booming,Thursday,22,22.375,0,1,17.9,0.2161
Chennai,Bike,Rainy,Booming,Wednesday,9,49.0327,0,0,39.2262,0.5877
Pune,Car,Snowy,Booming,Wednesday,8,40.3394,1,0,20.1697,0.1969
Chennai,Bus,Hot,Booming,Saturday,12,37.8137,1,0,37.8137,0.7701
Delhi,Car,Rainy,Recession,Tuesday,21,79.5828,0,1,47.5974,0.3692
Mumbai,Car,Clear,Recession,Tuesday,4,101.0314,0,0,50.5157,0.2794
Pune,Bike,Clear,Stable,Wednesday,11,38.5626,0,0,30.8501,0.2057
Pune,Bike,Storm,Stable,Sunday,13,18.6352,1,0,16.5647,0.2124
Mumbai,Bike,Snowy,Stable,Thursday,7,86.4,1,0,95.3502,0.2787
Mumbai,Bike,Snowy,Booming,Wednesday,14,17.2516,0,0,13.8013,0.2706
Kolkata,Car,Clear,Recession,Wednesday,23,73.5338,0,0,41.7806,0.0198
Chennai,Car,Rainy,Booming,Wednesday,4,25.2333,0,0,12.6167,0.5589
Bengalore,Car,Snowy,Stable,Monday,14,39.2665,0,0,23.4847,0.1221
Pune,Bike,Rainy,Booming,Sunday,19,35.1616,0,1,35.1616,0.2089
Pune,Rickshaw,Storm,Booming,Monday,13,69.8095,0,0,83.7714,0.1809
Pune,Bike,Snowy,Recession,Saturday,11,53.3103,0,0,42.6482,0.0953
Chennai,Bike,Rainy,Recession,Thursday,9,38.6191,0,0,30.8953,0.0814
Bengalore,Bike,Rainy,Recession,Thursday,10,19.3678,0,0,18.5338,0.0899
Bengalore,Bike,Snowy,Recession,Thursday,4,29.4096,0,0,28.1432,0.1081
Kolkata,Car,Storm,Booming,Tuesday,18,71.5642,1,0,34.2413,0.0663
Delhi,Bike,Hot,Stable,Monday,20,98.7876,0,1,90.714,0.6233
Delhi,Bike,Storm,Booming,Saturday,9,65.6453,0,0,62.8185,0.4104
Kolkata,Car,Storm,Stable,Wednesday,5,37.0237,0,0,22.1434,0.1004
Bengalore,Car,Clear,Booming,Sunday,8,46.7881,0,0,26.5842,0.3291
Mumbai,Bike,Storm,Booming,Thursday,14,75.7592,0,0,60.6074,0.4507
Chennai,Bike,Storm,Booming,Thursday,1,45.6925,0,0,36.554,0.3634
Kolkata,Bike,Storm,Stable,Sunday,8,94.2618,0,1,90.2027,0.0607
Chennai,Bike,Clear,Stable,Sunday,13,41.5729,1,0,33.2583,0.3702
Chennai,Bike,Clear,Stable,Tuesday,19,41.6335,0,1,37.0076,0.653
Chennai,Car,Rainy,Recession,Wednesday,8,15.8953,1,0,7.9477,0.4282
Delhi,Bike,Snowy,Recession,Sunday,15,116.8707,0,0,111.838,0.3166
Pune,Bike,Clear,Recession,Thursday,3,78.0338,0,0,62.427,0.0906
Pune,Car,Snowy,Booming,Wednesday,4,86.4,0,0,55.8625,0.1741
